# name,lat,lon - place nodes from OpenStreetMap, Greater Melbourne bbox
Queens Park,-38.1498,144.3192
Queenscliff,-38.2671,144.6613
Ravenhall,-37.7755,144.7366
Red Hill,-38.3684,145.0209
Red Hill South,-38.3797,145.0281
Research,-37.7067,145.1891
Reservoir,-37.7124,145.0075
Rhyll,-38.4633,145.3069
Richmond,-37.8204,145.0025
Riddells Creek,-37.4588,144.6777
Ringwood,-37.8114,145.2306
Ringwood East,-37.8123,145.2526
Ringwood North,-37.7951,145.2331
Rippleside,-38.1235,144.3564
Ripponlea,-37.8778,144.9953
Robin Hood,-38.0897,145.8317
Rockbank,-37.7313,144.6607
Rokeby,-38.0708,145.9261
Rolling Hills,-37.7658,145.3264
Rosanna,-37.7396,145.0696
Rosebud,-38.371,144.9095
Rosewall,-38.0672,144.375
Rowville,-37.9239,145.2448
Roxburgh Park,-37.6258,144.9256
Ruckers Hill,-37.7758,144.9979
Ruthven,-37.7082,145.0095
Rye,-38.3822,144.8099
Rythdale,-38.1399,145.4641
Safety Beach,-38.3154,145.0003
San Remo,-38.5215,145.3694
Sanctuary Lakes,-37.8994,144.7649
Sandhurst,-38.0844,145.2012
Sandringham,-37.9533,145.0139
Sassafras,-37.8629,145.3537
Scoresby,-37.9026,145.2183
Seabrook,-37.8807,144.7578
Seaford,-38.1048,145.1384
Seaholme,-37.8642,144.8442
Seddon,-37.8068,144.8916
Selby,-37.9188,145.3784
Seville,-37.7782,145.4594
Seville East,-37.7743,145.4988
Sherbrooke,-37.8884,145.3594
Shoreham,-38.4256,145.0515
Silvan,-37.8232,145.4196
Silverleaves,-38.453,145.2703
Skye,-38.1051,145.2162
Sloan Hill,-37.7342,145.2164
Smiths Beach,-38.5017,145.257
Smiths Gully,-37.6201,145.2633
Solway,-37.8724,145.0729
Somers,-38.3923,145.1726
Somerton,-37.6347,144.9508
Somerville,-38.2254,145.1737
Sorrento,-38.3447,144.7421
South Geelong,-38.1668,144.3613
South Kingsville,-37.8307,144.8713
South Melbourne,-37.8334,144.9571
South Morang,-37.6317,145.0836
South Wharf,-37.8253,144.9493
South Yarra,-37.8378,144.9919
Southbank,-37.8254,144.964
Southern Village,-37.7903,144.8314
Spotswood,-37.8296,144.8879
Springvale,-37.9456,145.158
Springvale South,-37.9709,145.1479
St Albans,-37.7451,144.805
St Albans East,-37.7399,144.8088
St Albans Park,-38.194,144.3908
St Albans South,-37.7534,144.8128
St Andrews,-37.6027,145.2729
St Andrews Beach,-38.42,144.8312
St Helena,-37.6895,145.1296
St Kilda,-37.8638,144.9816
St Kilda East,-37.8668,145.0022
St Kilda West,-37.858,144.9712
St Leonards,-38.1708,144.7183
St. Fillans,-37.5432,145.6694
Stony Point,-38.3737,145.2215
Strathewen,-37.5479,145.2692
Strathmore,-37.7333,144.9182
Strathmore Heights,-37.7134,144.8969
Strathtulloh,-37.7324,144.5975
Strzelecki,-38.3479,145.8918
Sunbury,-37.5797,144.7295
Sunderland Bay,-38.5041,145.2787
Sunset Strip,-38.496,145.2684
Sunshine,-37.7893,144.8343
Sunshine North,-37.7639,144.8362
Sunshine West,-37.7983,144.8111
Surf Beach,-38.5133,145.2997
Surrey Hills,-37.8272,145.0978
Swan Bay,-38.2268,144.6512
Sydenham,-37.6997,144.7653
Sydenham West,-37.6829,144.6613
Syndal,-37.873,145.1489
Tally Ho,-37.8638,145.1538
Tankerton,-38.3851,145.2898
Tarneit,-37.8354,144.6647
Taylors Hill,-37.7152,144.7533
Taylors Lakes,-37.6986,144.7863
Tecoma,-37.903,145.3447
Templestowe,-37.7541,145.1486
Templestowe Lower,-37.7639,145.1123
Tenby Point,-38.411,145.4772
The Basin,-37.8557,145.3214
The Gurdies,-38.3714,145.5639
The Patch,-37.8901,145.3913
Thomastown,-37.6833,145.0081
Thomson,-38.1699,144.3789
Thornbury,-37.7583,145.0052
Thornhill Park,-37.7274,144.6259
Toolangi,-37.5334,145.4672
Toolern Vale,-37.6074,144.5942
Tooradin,-38.2138,145.3817
Toorak,-37.8416,145.0176
Tootgarook,-38.3777,144.8502
Torquay,-38.3267,144.3134
Torquay North,-38.3149,144.3318
Tottenham,-37.8047,144.8529
Travancore,-37.7808,144.9355
Tremont,-37.8864,145.3283
Truganina,-37.8089,144.7211
Tuerong,-38.2971,145.0961
Tullamarine,-37.7047,144.8718
Tyabb,-38.2637,145.1872
Tynong,-38.083,145.6268
Tynong North,-38.0261,145.632
Upfield,-37.6666,144.9476
Upper Ferntree Gully,-37.8967,145.3099
Upper Plenty,-37.4233,145.056
Upwey,-37.9052,145.328
Ventnor,-38.469,145.1715
Vermont,-37.838,145.1984
Vermont South,-37.8544,145.1878
Viewbank,-37.7399,145.0932
Wallan,-37.4139,144.9775
Wallara Waters,-37.4236,144.9946
Wallington,-38.2243,144.5047
Wandin East,-37.8124,145.4622
Wandin North,-37.7806,145.4263
Wantirna,-37.8523,145.226
Wantirna South,-37.8738,145.2217
Warburton,-37.7536,145.6887
Warneet,-38.2214,145.3117
Warragul,-38.1589,145.9336
Warrandyte,-37.7378,145.2237
Warrandyte South,-37.7649,145.2373
Warranwood,-37.773,145.2506
Waterways,-38.0148,145.1305
Watsonia,-37.7098,145.0833
Watsonia North,-37.696,145.085
Wattle Glen,-37.666,145.1814
Waurn Ponds,-38.2037,144.3022
Weir Views,-37.7324,144.5709
Werribee,-37.9009,144.662
Werribee South,-37.9707,144.689
Wesburn,-37.7662,145.6463
West Footscray,-37.8006,144.8711
West Melbourne,-37.8087,144.9238
Westgarth,-37.7802,144.9969
Westmeadows,-37.6769,144.8939
Westpark,-38.2966,145.1742
Wheelers Hill,-37.9103,145.1895
Whittington,-38.1771,144.3921
Whittlesea,-37.5121,145.1177
Wildwood,-37.5647,144.8008
Williams Landing,-37.8614,144.7445
Williamstown,-37.8612,144.8899
Williamstown North,-37.8526,144.8689
Wimbledon Heights,-38.4802,145.2342
Windsor,-37.8545,144.9922
Wollert,-37.594,145.0337
Wonga Park,-37.739,145.267
Wonga Park South,-37.7492,145.2703
Woodstock,-37.546,145.0563
Woolamai,-38.5041,145.4996
Woori Yallock,-37.7793,145.5301
Wyndham Harbour,-37.9646,144.7065
Wyndham Vale,-37.8869,144.6241
Yallambie,-37.7252,145.0935
Yan Yean,-37.5691,145.1078
Yarra Glen,-37.6573,145.3744
Yarra Junction,-37.7822,145.615
Yarrambat,-37.6375,145.1349
Yarraville,-37.818,144.8819
Yarra’s Edge,-37.8247,144.947
Yellingbo,-37.8103,145.5097
Yering,-37.691,145.3737
Yuroke,-37.5895,144.879
