# name,lat,lon,kind,setting,parking_m,parking_type,neighbours_60m
Charcoal Chicken,-37.9361,145.0612,fast_food,STRIP,12,street_side,8
Charcoal Chicken & Souvlaki Bar,-37.9825,145.0648,fast_food,STRIP,89,surface,12
Charles Bakehouse,-38.0222,145.1178,bakery,MALL,27,surface,7
Charm'n'Chicken,-37.9658,145.0554,restaurant,STRIP,42,street_side,10
Charman Bakery,-37.9861,145.2154,bakery,MALL,93,surface,4
Charman Fish & Chippery,-37.9666,145.0553,fast_food,STRIP,48,street_side,15
Chatime,-37.9581,145.0536,cafe,MALL,36,surface,14
Chelbara General Store,-38.0445,145.1219,convenience,STANDALONE_PARKING,14,surface,0
Chelsea Charcoal Chicken,-38.0545,145.1166,fast_food,STRIP,61,surface,7
Chelsea Heights Hotel,-38.0276,145.1331,pub,STANDALONE_PARKING,68,surface,0
Chelsea Longbeach Club,-38.053,145.1136,pub,STANDALONE_PARKING,19,surface,0
Chelsea Quality Meats,-38.0539,145.1165,butcher,STRIP,111,surface,11
Cheltenham Bakery,-37.9659,145.0558,bakery,STRIP,77,street_side,11
Cheltenham Noodle & Sushi Bar,-37.9658,145.0554,restaurant,STRIP,42,street_side,10
Chesterville Road Bakery,-37.9355,145.0613,cafe,STRIP,27,street_side,6
Chopstick & Chicken,-37.9522,145.1511,restaurant,STRIP,30,surface,12
Christie's,-37.9668,145.1745,cafe,STRIP,19,surface,11
Chubby Buddies,-38.0372,145.1074,cafe,STANDALONE,118,surface,5
Chute Street Milk Bar,-38.0078,145.0926,convenience,STANDALONE_PARKING,11,street_side,0
Ciro's Bicuits,-37.9656,145.1767,bakery,STANDALONE_PARKING,61,surface,3
Ciro's Cakes,-37.9657,145.1767,bakery,STANDALONE_PARKING,60,surface,4
Clarinda Pizza,-37.9412,145.1038,fast_food,STANDALONE_PARKING,42,surface,3
Club Noble,-37.9771,145.1689,restaurant,STANDALONE_PARKING,20,surface,1
Club Noble,-37.9771,145.169,pub,STANDALONE_PARKING,26,surface,1
CoCo Fresh Tea & Juice,-37.9455,145.0779,cafe,STANDALONE,113,surface,0
CoCo Fresh Tea & Juice,-37.9505,145.1518,cafe,STRIP,6,surface,22
Coffee 575A,-37.9718,145.149,cafe,MALL,47,surface,12
Coffee Chain,-38.0891,145.1284,cafe,STANDALONE_PARKING,19,surface,2
Coles,-37.9589,145.0512,supermarket,MALL,45,surface,2
